               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.035086,            0.040611,           0.0079725,               0.781,             0.65145,              0.6908,             0.42752,            0.030718,            0.033942,           0.0087104,            0.005545,            0.005545,            0.005545
                  92,            0.034663,            0.039854,           0.0076917,             0.78078,             0.65139,             0.69126,             0.42791,            0.030711,            0.033941,           0.0087081,           0.0054955,           0.0054955,           0.0054955
                  93,            0.034853,            0.039819,           0.0078101,              0.7807,              0.6517,             0.69151,             0.42803,            0.030705,            0.033935,           0.0087055,            0.005446,            0.005446,            0.005446
                  94,            0.034652,            0.040354,           0.0077817,             0.78268,             0.65067,             0.69187,             0.42853,            0.030698,            0.033927,           0.0087048,           0.0053965,           0.0053965,           0.0053965
                  95,            0.034799,            0.040143,           0.0076477,             0.78192,             0.65141,             0.69189,             0.42836,            0.030693,            0.033922,           0.0087018,            0.005347,            0.005347,            0.005347
                  96,            0.034754,            0.040061,           0.0076383,             0.78075,             0.65236,             0.69201,             0.42869,            0.030689,            0.033913,           0.0086977,           0.0052975,           0.0052975,           0.0052975
                  97,            0.034884,            0.040544,           0.0076042,             0.77427,             0.65539,              0.6924,             0.42859,            0.030682,            0.033912,           0.0086935,            0.005248,            0.005248,            0.005248
                  98,            0.034824,             0.04021,           0.0077046,             0.77405,             0.65563,             0.69269,             0.42907,            0.030678,            0.033904,           0.0086901,           0.0051985,           0.0051985,           0.0051985
                  99,            0.034722,            0.040242,           0.0073248,              0.7796,             0.65315,             0.69274,             0.42902,            0.030673,            0.033898,             0.00869,            0.005149,            0.005149,            0.005149
                 100,            0.034664,            0.039926,           0.0074296,             0.78156,             0.65264,             0.69314,             0.42912,            0.030666,            0.033894,           0.0086885,           0.0050995,           0.0050995,           0.0050995
                 101,            0.034538,             0.04005,           0.0074412,             0.78902,             0.64898,             0.69312,             0.42909,             0.03066,            0.033886,           0.0086895,             0.00505,             0.00505,             0.00505
                 102,            0.034603,            0.040079,           0.0072494,             0.78901,              0.6494,             0.69348,             0.42922,            0.030655,            0.033882,           0.0086878,           0.0050005,           0.0050005,           0.0050005
                 103,            0.034521,            0.039989,           0.0072399,             0.78624,             0.65231,             0.69348,             0.42942,            0.030649,            0.033876,           0.0086873,            0.004951,            0.004951,            0.004951
                 104,            0.034687,            0.040516,            0.007454,             0.78726,             0.64961,             0.69331,             0.42959,            0.030644,            0.033877,            0.008688,           0.0049015,           0.0049015,           0.0049015
                 105,            0.034511,            0.039608,           0.0072533,             0.78691,             0.65027,             0.69417,             0.43005,             0.03064,            0.033872,            0.008687,            0.004852,            0.004852,            0.004852
                 106,              0.0346,            0.040226,           0.0071485,             0.78523,             0.65241,             0.69418,             0.43016,            0.030634,            0.033869,            0.008687,           0.0048025,           0.0048025,           0.0048025
                 107,            0.034408,            0.039676,           0.0072884,             0.78605,             0.65167,             0.69406,             0.43037,             0.03063,            0.033867,           0.0086882,            0.004753,            0.004753,            0.004753
                 108,            0.034238,             0.03962,           0.0072041,              0.7832,             0.65292,              0.6942,             0.43025,            0.030626,            0.033866,           0.0086873,           0.0047035,           0.0047035,           0.0047035
                 109,            0.034357,            0.039542,           0.0071332,             0.78367,             0.65267,             0.69353,              0.4302,            0.030622,            0.033861,           0.0086848,            0.004654,            0.004654,            0.004654
                 110,            0.034371,            0.040056,           0.0071201,             0.78329,             0.65263,             0.69352,             0.43076,            0.030619,            0.033861,           0.0086861,           0.0046045,           0.0046045,           0.0046045
                 111,            0.034231,            0.039781,           0.0068602,             0.78517,              0.6525,             0.69361,             0.43113,            0.030615,             0.03386,            0.008686,            0.004555,            0.004555,            0.004555
                 112,            0.034134,            0.039452,           0.0069403,             0.78296,             0.65362,             0.69368,             0.43114,            0.030611,            0.033859,           0.0086868,           0.0045055,           0.0045055,           0.0045055
                 113,            0.034125,            0.039622,           0.0070412,             0.78458,             0.65256,             0.69356,             0.43073,            0.030609,             0.03386,           0.0086898,            0.004456,            0.004456,            0.004456
                 114,            0.034205,             0.03942,            0.006672,             0.78345,             0.65213,             0.69391,             0.43081,            0.030605,            0.033859,           0.0086893,           0.0044065,           0.0044065,           0.0044065
                 115,            0.034156,            0.039145,           0.0067644,             0.78208,             0.65301,             0.69476,             0.43116,            0.030602,            0.033855,           0.0086878,            0.004357,            0.004357,            0.004357
                 116,            0.034231,            0.039885,            0.007087,             0.78077,             0.65406,             0.69476,             0.43092,            0.030595,            0.033846,           0.0086849,           0.0043075,           0.0043075,           0.0043075
                 117,            0.033961,            0.039211,            0.006696,             0.78075,             0.65407,             0.69457,             0.43133,            0.030592,            0.033845,           0.0086871,            0.004258,            0.004258,            0.004258
                 118,            0.034042,            0.039175,            0.006778,             0.78103,             0.65413,             0.69511,             0.43134,            0.030588,            0.033845,           0.0086872,           0.0042085,           0.0042085,           0.0042085
                 119,            0.034023,             0.03936,           0.0065622,             0.78038,             0.65414,             0.69521,             0.43179,            0.030584,            0.033844,           0.0086889,            0.004159,            0.004159,            0.004159
                 120,            0.034054,             0.03963,           0.0066998,             0.77912,              0.6547,             0.69538,             0.43189,             0.03058,            0.033844,           0.0086885,           0.0041095,           0.0041095,           0.0041095
                 121,            0.033767,            0.038987,           0.0064046,             0.78022,             0.65488,             0.69542,             0.43186,            0.030578,            0.033844,           0.0086884,             0.00406,             0.00406,             0.00406
                 122,             0.03362,            0.038225,           0.0064676,             0.78229,              0.6548,              0.6956,             0.43214,            0.030574,            0.033841,           0.0086891,           0.0040105,           0.0040105,           0.0040105
                 123,            0.033544,            0.038328,           0.0066237,             0.78248,             0.65471,             0.69507,             0.43218,            0.030569,            0.033841,           0.0086888,            0.003961,            0.003961,            0.003961
                 124,            0.033491,            0.038075,           0.0064162,             0.78115,             0.65455,             0.69484,             0.43199,            0.030566,            0.033841,           0.0086894,           0.0039115,           0.0039115,           0.0039115
                 125,            0.033837,            0.038603,           0.0064903,             0.78469,             0.65338,             0.69527,             0.43241,            0.030563,            0.033838,           0.0086913,            0.003862,            0.003862,            0.003862
                 126,            0.033765,             0.03873,             0.00649,             0.78662,             0.65375,             0.69518,             0.43225,             0.03056,            0.033837,           0.0086916,           0.0038125,           0.0038125,           0.0038125
                 127,            0.033575,            0.038174,           0.0065564,             0.78721,             0.65298,             0.69544,             0.43236,            0.030559,            0.033835,           0.0086912,            0.003763,            0.003763,            0.003763
                 128,             0.03361,            0.038321,           0.0064338,             0.78878,             0.65269,             0.69527,             0.43239,            0.030556,            0.033836,           0.0086935,           0.0037135,           0.0037135,           0.0037135
                 129,            0.033573,            0.038874,            0.006312,             0.79605,              0.6527,             0.69562,             0.43297,            0.030554,            0.033835,           0.0086972,            0.003664,            0.003664,            0.003664
                 130,            0.033383,            0.038233,            0.006036,             0.79684,             0.65246,             0.69543,             0.43288,            0.030549,            0.033836,           0.0086995,           0.0036145,           0.0036145,           0.0036145
                 131,            0.033476,            0.038572,           0.0059556,             0.79355,             0.65261,             0.69574,             0.43286,            0.030544,            0.033839,           0.0087013,            0.003565,            0.003565,            0.003565
                 132,            0.033235,            0.037807,           0.0061419,             0.79334,             0.65233,              0.6954,             0.43289,            0.030541,            0.033838,           0.0087037,           0.0035155,           0.0035155,           0.0035155
                 133,            0.033381,            0.038895,           0.0061249,             0.79389,               0.652,             0.69573,             0.43313,            0.030539,             0.03384,           0.0087072,            0.003466,            0.003466,            0.003466
                 134,            0.033031,            0.038004,           0.0060287,             0.79189,             0.65219,             0.69601,             0.43334,            0.030536,            0.033845,             0.00871,           0.0034165,           0.0034165,           0.0034165
                 135,            0.033235,            0.037432,           0.0057887,              0.7974,             0.65127,             0.69577,             0.43316,            0.030534,            0.033848,           0.0087113,            0.003367,            0.003367,            0.003367
