               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.035336,            0.041659,           0.0086664,             0.76015,             0.64576,             0.68437,             0.42635,            0.030181,            0.033711,           0.0092751,            0.007624,            0.007624,            0.007624
                  50,            0.035047,            0.040575,           0.0084952,             0.75021,             0.65468,             0.68788,             0.42869,            0.030169,            0.033718,           0.0092252,           0.0075745,           0.0075745,           0.0075745
                  51,            0.034936,            0.040683,           0.0086626,             0.74327,             0.65693,              0.6883,             0.43069,            0.030154,            0.033704,           0.0091582,            0.007525,            0.007525,            0.007525
                  52,            0.034768,            0.040957,           0.0084968,             0.75491,             0.64953,             0.69041,             0.43358,            0.030118,            0.033658,           0.0090715,           0.0074755,           0.0074755,           0.0074755
                  53,            0.034778,            0.040077,           0.0089312,             0.77992,             0.63808,             0.69327,             0.43374,            0.030109,            0.033646,           0.0090002,            0.007426,            0.007426,            0.007426
                  54,            0.034941,            0.040522,           0.0085218,             0.71754,             0.64543,             0.68949,             0.43262,             0.03008,            0.033659,           0.0089787,           0.0073765,           0.0073765,           0.0073765
                  55,            0.034694,            0.040436,           0.0085022,             0.71105,             0.64935,             0.68956,             0.43365,            0.030083,            0.033655,           0.0089206,            0.007327,            0.007327,            0.007327
                  56,            0.034847,            0.040515,            0.008608,             0.71754,             0.65016,             0.69169,             0.43388,            0.030075,            0.033627,           0.0088972,           0.0072775,           0.0072775,           0.0072775
                  57,            0.034842,            0.040883,           0.0083107,              0.7142,             0.65655,              0.6912,             0.43396,            0.030065,            0.033644,           0.0088595,            0.007228,            0.007228,            0.007228
                  58,            0.035096,             0.04154,           0.0081971,             0.71196,             0.65838,             0.69396,             0.43512,            0.030041,            0.033645,           0.0088414,           0.0071785,           0.0071785,           0.0071785
                  59,            0.034582,            0.040465,           0.0082666,             0.71545,             0.66183,             0.69352,             0.43603,            0.029972,            0.033639,           0.0088078,            0.007129,            0.007129,            0.007129
                  60,            0.034439,            0.040384,           0.0078372,             0.70919,             0.65746,             0.69342,             0.43706,            0.029949,            0.033645,           0.0087972,           0.0070795,           0.0070795,           0.0070795
                  61,            0.034695,             0.04087,           0.0081048,             0.71983,             0.66289,             0.69308,             0.43726,             0.02992,            0.033655,           0.0088156,             0.00703,             0.00703,             0.00703
                  62,             0.03448,            0.040477,           0.0080669,             0.71737,             0.66631,             0.69386,             0.43558,            0.029944,            0.033656,           0.0088127,           0.0069805,           0.0069805,           0.0069805
                  63,            0.034357,            0.040403,           0.0079787,             0.71973,             0.66055,             0.69198,             0.43567,             0.02995,            0.033656,            0.008806,            0.006931,            0.006931,            0.006931
                  64,            0.034415,             0.04026,           0.0078221,             0.71483,             0.65529,             0.69174,             0.43614,            0.029942,             0.03365,           0.0088106,           0.0068815,           0.0068815,           0.0068815
                  65,            0.034168,            0.039169,           0.0077949,             0.72398,             0.65951,             0.69044,             0.43599,             0.02994,            0.033636,           0.0088144,            0.006832,            0.006832,            0.006832
