               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
61,0.036688,0.043092,0.0096763,0.73482,0.6317,0.66286,0.40401,0.031341,0.034562,0.0095575,0.00703,0.00703,0.00703
62,0.0364,0.042425,0.0096359,0.72376,0.64284,0.66358,0.40384,0.031313,0.034538,0.0095168,0.0069805,0.0069805,0.0069805
63,0.036743,0.043112,0.009631,0.72931,0.64003,0.66487,0.40483,0.031296,0.034521,0.0094998,0.006931,0.006931,0.006931
64,0.03641,0.042824,0.0094494,0.73444,0.63721,0.66655,0.40614,0.031275,0.034509,0.0094882,0.0068815,0.0068815,0.0068815
65,0.036468,0.042569,0.0097173,0.74157,0.62854,0.66759,0.40713,0.031267,0.034497,0.0094898,0.006832,0.006832,0.006832
66,0.036433,0.042855,0.0096791,0.74313,0.6257,0.66651,0.4069,0.031248,0.034479,0.0094722,0.0067825,0.0067825,0.0067825
67,0.036211,0.041726,0.0091664,0.75337,0.62848,0.66577,0.40782,0.031241,0.034464,0.009466,0.006733,0.006733,0.006733
68,0.036165,0.041597,0.0093306,0.75524,0.62735,0.66805,0.40855,0.031229,0.034447,0.009452,0.0066835,0.0066835,0.0066835
69,0.036501,0.042981,0.0090974,0.75479,0.62747,0.6686,0.40878,0.03122,0.034437,0.0094476,0.006634,0.006634,0.006634
70,0.036321,0.042873,0.0090583,0.7537,0.62861,0.66884,0.40898,0.031205,0.034422,0.0094501,0.0065845,0.0065845,0.0065845
71,0.036145,0.042435,0.0093059,0.74973,0.62942,0.67041,0.40985,0.031185,0.034417,0.0094303,0.006535,0.006535,0.006535
72,0.036224,0.042121,0.0091617,0.74328,0.63219,0.67185,0.41049,0.031174,0.034414,0.009425,0.0064855,0.0064855,0.0064855
73,0.036323,0.042559,0.009092,0.74315,0.63466,0.67202,0.4104,0.031159,0.034412,0.0094102,0.006436,0.006436,0.006436
74,0.036349,0.042123,0.009051,0.74655,0.63277,0.67228,0.41106,0.031146,0.034417,0.0093982,0.0063865,0.0063865,0.0063865
75,0.035841,0.041797,0.0089547,0.75274,0.63161,0.67179,0.41119,0.031132,0.034413,0.0093921,0.006337,0.006337,0.006337
76,0.035905,0.04188,0.0089585,0.74219,0.63471,0.67081,0.41132,0.031125,0.03441,0.0093874,0.0062875,0.0062875,0.0062875
77,0.035988,0.041854,0.0089771,0.75433,0.63205,0.67181,0.41151,0.031116,0.034406,0.0093838,0.006238,0.006238,0.006238
78,0.035779,0.041827,0.0087381,0.75464,0.63007,0.67204,0.4122,0.031105,0.034398,0.0093789,0.0061885,0.0061885,0.0061885
79,0.035636,0.041535,0.0085909,0.74653,0.63159,0.67214,0.41253,0.031098,0.034395,0.0093766,0.006139,0.006139,0.006139
80,0.035869,0.042087,0.0085235,0.74657,0.63054,0.67229,0.41267,0.031091,0.034387,0.009368,0.0060895,0.0060895,0.0060895
81,0.035743,0.040824,0.0085382,0.75106,0.62807,0.67323,0.41304,0.031083,0.034384,0.0093562,0.00604,0.00604,0.00604
82,0.035885,0.042022,0.0085754,0.74802,0.62916,0.67366,0.41333,0.031076,0.034384,0.0093465,0.0059905,0.0059905,0.0059905
83,0.035636,0.041875,0.0083892,0.74805,0.62881,0.67361,0.41311,0.03107,0.034384,0.0093389,0.005941,0.005941,0.005941
84,0.035778,0.041326,0.0085838,0.74784,0.62847,0.67333,0.41305,0.031066,0.034383,0.0093326,0.0058915,0.0058915,0.0058915
