               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.040082,            0.046358,            0.012656,             0.72867,             0.59722,             0.62188,             0.35345,            0.034952,            0.036818,            0.011257,           0.0074755,           0.0074755,           0.0074755
                  53,            0.040192,            0.045895,            0.012336,             0.71928,             0.60182,              0.6228,             0.35855,             0.03455,            0.036534,            0.011195,            0.007426,            0.007426,            0.007426
                  54,            0.039907,            0.045816,            0.012549,              0.7525,             0.60228,             0.62602,             0.36317,            0.034187,            0.036284,            0.011128,           0.0073765,           0.0073765,           0.0073765
                  55,            0.039527,            0.045922,            0.012063,             0.75498,             0.59742,              0.6254,             0.36579,            0.033963,            0.036121,            0.011068,            0.007327,            0.007327,            0.007327
                  56,            0.039574,            0.044629,            0.012393,             0.76339,             0.59513,             0.62642,             0.36886,            0.033781,            0.035997,            0.011013,           0.0072775,           0.0072775,           0.0072775
                  57,             0.03954,             0.04547,            0.012047,              0.7621,             0.59653,             0.62629,             0.36963,            0.033648,              0.0359,            0.010987,            0.007228,            0.007228,            0.007228
                  58,             0.03944,            0.044935,            0.012052,              0.7657,             0.59408,             0.62659,             0.37171,             0.03355,            0.035825,            0.010949,           0.0071785,           0.0071785,           0.0071785
                  59,             0.03932,             0.04539,            0.011913,             0.75926,             0.59397,             0.62859,             0.37328,            0.033462,            0.035766,            0.010895,            0.007129,            0.007129,            0.007129
                  60,            0.039178,            0.044856,            0.011826,             0.77015,             0.58945,             0.62891,             0.37539,            0.033402,            0.035706,            0.010839,           0.0070795,           0.0070795,           0.0070795
                  61,            0.039278,             0.04543,            0.011809,             0.76625,             0.59171,             0.62902,              0.3752,            0.033353,            0.035651,            0.010802,             0.00703,             0.00703,             0.00703
                  62,            0.039017,            0.044748,            0.011748,             0.76212,             0.59659,             0.63104,             0.37627,            0.033311,            0.035617,            0.010776,           0.0069805,           0.0069805,           0.0069805
                  63,            0.039164,             0.04536,            0.011732,             0.75521,             0.60601,             0.63232,             0.37675,            0.033267,            0.035586,            0.010736,            0.006931,            0.006931,            0.006931
                  64,            0.038788,            0.044831,            0.011416,             0.76064,             0.60255,             0.63251,             0.37658,             0.03324,            0.035558,            0.010719,           0.0068815,           0.0068815,           0.0068815
                  65,            0.039024,            0.045204,            0.011568,             0.75888,             0.60553,             0.63315,             0.37803,            0.033208,            0.035532,            0.010694,            0.006832,            0.006832,            0.006832
                  66,             0.03885,            0.044499,            0.011655,             0.75995,             0.60408,             0.63446,             0.37865,            0.033172,            0.035502,            0.010659,           0.0067825,           0.0067825,           0.0067825
                  67,            0.038825,            0.044737,            0.011231,             0.76493,             0.60294,             0.63451,             0.37899,            0.033138,            0.035473,            0.010625,            0.006733,            0.006733,            0.006733
